Company,Last Name,Phone,Street,City,State,Lead Source,Lead Status,Description
M. & M. Landscaping Maintenance,M. & M. Landscaping Maintenance,(520) 682-6993,"16721 W Whitewing Way, Marana, AZ 85653",Marana,AZ,,,"Pre-qualified outbound lead from the no-website website pipeline.
Trade: Landscaper
Business status: open
Website verification: verified_no_website
Verification notes: No website on Google Maps and no likely official website found in web search.
Google Maps: https://www.google.com/maps/place/M.+%26+M.+Landscaping+Maintenance/data=!4m7!3m6!1s0x86d5ef189c7145b9:0xc8d0147b07e1c542!8m2!3d32.3997303!4d-111.3242523!16s%2Fg%2F1tdww3t4!19sChIJuUVxnBjv1YYRQsXhB3sU0Mg?authuser=0
Source query: landscaper in Tucson AZ
Internal notes: Scraped from Google Maps detail page."
Affordable Plumber AZ LLC,Affordable Plumber AZ LLC,(480) 702-6165,"127 W Juanita Ave, Mesa, AZ 85210",Mesa,AZ,,,"Pre-qualified outbound lead from the no-website website pipeline.
Trade: Water Heater Repair
Business status: open
Website verification: verified_no_website
Verification notes: No website on Google Maps and no likely official website found in web search.
Google Maps: https://www.google.com/maps/place/Affordable+Plumber+AZ+LLC/data=!4m7!3m6!1s0x872ba7af01c06301:0x84b8b00f147e8802!8m2!3d33.381843!4d-111.8349441!16s%2Fg%2F11jmyz_wbs!19sChIJAWPAAa-nK4cRAoh-FA-wuIQ?authuser=0
Source query: water heater repair in Phoenix AZ
Internal notes: Scraped from Google Maps detail page."
AZ Landscaper LLC,AZ Landscaper LLC,(602) 486-1845,"3226 E Cypress St, Phoenix, AZ 85008",Phoenix,AZ,,,"Pre-qualified outbound lead from the no-website website pipeline.
Trade: Landscaper
Business status: open
Website verification: verified_no_website
Verification notes: No website on Google Maps and no likely official website found in web search.
Google Maps: https://www.google.com/maps/place/AZ+Landscaper+LLC/data=!4m7!3m6!1s0x872b0dc8a0895555:0xcb729d32795cbb26!8m2!3d33.4725284!4d-112.0117971!16s%2Fg%2F11f63ylz8q!19sChIJVVWJoMgNK4cRJrtceTKdcss?authuser=0
Source query: landscaper in Phoenix AZ
Internal notes: Scraped from Google Maps detail page."
AZ Outdoor Aesthetics,AZ Outdoor Aesthetics,(623) 986-3029,,Phoenix,AZ,,,"Pre-qualified outbound lead from the no-website website pipeline.
Trade: Landscaper
Business status: open
Website verification: verified_no_website
Verification notes: No website on Google Maps and no likely official website found in web search.
Google Maps: https://www.google.com/maps/place/AZ+Outdoor+Aesthetics/data=!4m7!3m6!1s0x2d11a18b3fd7ef13:0x980da1944b4f1b80!8m2!3d33.485838!4d-112.037355!16s%2Fg%2F11w3mpq187!19sChIJE-_XP4uhES0RgBtPS5ShDZg?authuser=0
Source query: landscaper in Phoenix AZ
Internal notes: Scraped from Google Maps detail page."
Az New Leaf Landscaping,Az New Leaf Landscaping,(623) 853-3354,"3230 W Quail Ave, Phoenix, AZ 85027",Phoenix,AZ,,,"Pre-qualified outbound lead from the no-website website pipeline.
Trade: Landscaper
Business status: open
Website verification: verified_no_website
Verification notes: No website on Google Maps and no likely official website found in web search.
Google Maps: https://www.google.com/maps/place/Az+New+Leaf+Landscaping/data=!4m7!3m6!1s0x872b6fc7f1616e7b:0x1966f463d8869dd7!8m2!3d33.6799779!4d-112.1297713!16s%2Fg%2F11t1b6hkbv!19sChIJe25h8cdvK4cR152G2GP0Zhk?authuser=0
Source query: landscaper in Phoenix AZ
Internal notes: Scraped from Google Maps detail page."
Blue Rose Landscaping,Blue Rose Landscaping,(480) 216-3914,,Phoenix,AZ,,,"Pre-qualified outbound lead from the no-website website pipeline.
Trade: Landscaper
Business status: open
Website verification: verified_no_website
Verification notes: No website on Google Maps and no likely official website found in web search.
Google Maps: https://www.google.com/maps/place/Blue+Rose+Landscaping/data=!4m7!3m6!1s0x21326c2168983f8d:0x964671877ef35b52!8m2!3d33.6043256!4d-112.0399746!16s%2Fg%2F11sqx4j17z!19sChIJjT-YaCFsMiERUlvzfodxRpY?authuser=0
Source query: landscaper in Phoenix AZ
Internal notes: Scraped from Google Maps detail page."
C & A Landscapes,C & A Landscapes,(480) 343-0312,,Phoenix,AZ,,,"Pre-qualified outbound lead from the no-website website pipeline.
Trade: Landscaper
Business status: open
Website verification: verified_no_website
Verification notes: No website on Google Maps and no likely official website found in web search.
Google Maps: https://www.google.com/maps/place/C+%26+A+Landscapes/data=!4m7!3m6!1s0x872ba73d50909d8f:0x380e5999e89deb61!8m2!3d33.5327396!4d-111.9173586!16s%2Fg%2F11gnpp_pyb!19sChIJj52QUD2nK4cRYeud6JlZDjg?authuser=0
Source query: landscaper in Phoenix AZ
Internal notes: Scraped from Google Maps detail page."
JB´s Landscaping AZ,JB´s Landscaping AZ,(602) 461-4782,"3731 E Fillmore St, Phoenix, AZ 85008",Phoenix,AZ,,,"Pre-qualified outbound lead from the no-website website pipeline.
Trade: Landscaper
Business status: open
Website verification: verified_no_website
Verification notes: No website on Google Maps and no likely official website found in web search.
Google Maps: https://www.google.com/maps/place/JB%C2%B4s+Landscaping+AZ/data=!4m7!3m6!1s0x872b0fee0af4bad1:0x96e07bacfaa7351b!8m2!3d33.4538097!4d-112.000712!16s%2Fg%2F11r1dpj_ff!19sChIJ0br0Cu4PK4cRGzWn-qx74JY?authuser=0
Source query: landscaper in Phoenix AZ
Internal notes: Scraped from Google Maps detail page."
Paradise Green Landscaping llc,Paradise Green Landscaping llc,(602) 421-1175,"3346 W Monterosa St, Phoenix, AZ 85017",Phoenix,AZ,,,"Pre-qualified outbound lead from the no-website website pipeline.
Trade: Landscaper
Business status: open
Website verification: verified_no_website
Verification notes: No website on Google Maps and no likely official website found in web search.
Google Maps: https://www.google.com/maps/place/Paradise+Green+Landscaping+llc/data=!4m7!3m6!1s0x4d7f49241c61543b:0xf40840de74b22410!8m2!3d33.4958671!4d-112.1318445!16s%2Fg%2F11mcqkcjgh!19sChIJO1RhHCRJf00RECSydN5ACPQ?authuser=0
Source query: landscaper in Phoenix AZ
Internal notes: Scraped from Google Maps detail page."
Patio Pros Landscape & Design,Patio Pros Landscape & Design,(480) 719-0577,,Phoenix,AZ,,,"Pre-qualified outbound lead from the no-website website pipeline.
Trade: Landscaper
Business status: open
Website verification: verified_no_website
Verification notes: No website on Google Maps and no likely official website found in web search.
Google Maps: https://www.google.com/maps/place/Patio+Pros+Landscape+%26+Design/data=!4m7!3m6!1s0x872b0d6265e89767:0x8f3fba57c2edf8e5!8m2!3d33.2952344!4d-111.7639134!16s%2Fg%2F11dffsf0pj!19sChIJZ5foZWINK4cR5fjtwle6P48?authuser=0
Source query: landscaper in Phoenix AZ
Internal notes: Scraped from Google Maps detail page."
